,/records/record/#id,/records/record/abstract/style,/records/record/auth-address/style,/records/record/contributors/authors/author/style,/records/record/dates/year/style,/records/record/keywords/keyword/style,/records/record/periodical/full-title/style,/records/record/titles/title/style
26,27,"This article presents results of an empirical study about the use of a group-based geographic information system (GIS), called WaterGroup, developed as a collaborative spatial decision support system. WaterGroup was designed to enable stakeholder groups to participate in the solution of conjunctive water resource administration decision problems being addressed by the Idaho Department of Water Resources in the Boise River Basin of southwestern Idaho. The decision situation, software development, and empirical investigation are described within the context of other research activities/literatures related to group/ community/public geographic information systems, helping us sort through the burgeoning terminology of this continually emerging field. We used Enhanced Adaptive Structuration Theory 2 to motivate research questions investigated by way of a field experiment research design. Decision process is characterized in terms of human-computer-human interaction coding. We used a technique called ""interaction coding"" to compile three streams of data from videotapes as a record of interaction in two stakeholder-oriented decision workshops. Coded data are examined using nonparametric, exploratory sequential data analysis. Additionally, we used questionnaires to gather data regarding participant perceptions of WaterGrou p and the decision process. The findings of this study indicate that different technology configurations foster a different balance between analytic and deliberative activities within phases of a conjunctive administration decision process. A low-technology, chauffeur-driven configuration in a phase encourages more deliberation, and a medium-technology, participant-driven configuration in a phase encourages more analysis. We discuss the findings and their implications for group-based GIS decision support. This article will be of interest to researchers involved in group-based GIS decision support software design, in empirical studies of stakeholder group-based decision support, and facilitators desiring to gain deeper insight into field settings involving group-based GIS decision support. © 2006 by Association of American Geographers.","Department of Geography, University of Washington, Box 353550, Seattle, WA 98195-3550, United States
 Department of Geography, San Diego State University, 5500 Campanile Drive, San Diego, CA 92182-4493, United States
 Idaho Department of Water Resources, 322 E. Front St, Boise, ID 83720-0098, United States",,2006,Water resource planning,Annals of the Association of American Geographers,Collaborative water resource decision support: Results of a field experiment
30,31,"Assuring equal accessibility to public outdoor and recreation services is important because of the potential health and social welfare implications. The focus has primarily been on parks and other green spaces but should be expanded to include also the aquatic environments and the numerous recreational opportunities they have to offer. As the accessibility standards and approaches on ensuring equal accessibility to green spaces are often based on purely spatial measurements, this research examined the equality of accessibility of aquatic environments by combining spatio-temporal dimensions of accessibility with person-based measures. Public Participation GIS (PPGIS) method used in the study provided multifaceted knowledge on the person-based accessibility patterns related to aquatic environments in Helsinki Metropolitan Area, Finland. This paper demonstrates how an advanced GIS-based analysis combining both objective and subjective measurements of accessibility can result in more detailed and even contradictory outcomes compared to traditional spatial measures. The results indicate that a common presumption of a nearest service available made in studies on accessibility and environmental justice may have notable impacts on results or even return unfounded interpretations. Results also indicate that there are significant (p<. 0.05) differences in accessibility in the study region related to income status and car ownership. We conclude that PPGIS approaches can provide valuable information to accessibility research, studies on environmental justice and provide additional approaches for the planning and management officials of public recreation and outdoor services. © 2015 Elsevier B.V.","Department of Real Estate, Planning and Geoinformatics, Aalto University, PO Box 12200, Aalto, 00076, Finland
 Department of Geosciences and Geography, University of Helsinki, Helsinki, Finland",,2015,Urban water areas,Landscape and Urban Planning,Comparing conventional and PPGIS approaches in measuring equality of access to urban aquatic environments
153,154,"Mining can have a notable environmental and social footprint both during the production phase and after the mine closure. We examined local stakeholders' viewpoints on two post-mining areas in northern Finland, Hannukainen and Rautuvaara, using a public participation geographic information system (PPGIS) approach. Spatially explicit data on local residents' and visitors' values, knowledge needs, and future perspectives on mining landscapes were collected with an online map-based survey tool (Harava). The results show that post-mining sites were generally considered unpleasant places. A majority of respondents were of the opinion that areas would need better reclamation and landscaping measures. The landscape surrounding the post-mining sites contained a wide diversity of pleasant places with high nature and recreational value. Respondents addressed various environmental concerns related to the impacts of former mining activities on the quality of ground water and surface water, potential soil contamination, and the safety of natural products. Opinions on the planned mine reopening were strongly divided among the respondents. One of the key questions was whether a large open-pit mine and nature-based tourism can coexist in the same region. Our results highlight that ""the shadow of the mine""-observed environmental impacts, uncertainties related to the spatial extent, duration, and magnitude of impacts, and knowledge gaps-can affect local stakeholders' land use far outside the mining sites and long after the mine closure. Identifying and mapping stakeholder values, opinions, and knowledge needs could significantly improve post-mining land use planning and mitigate the loss of multifunctional landscapes. © 2018 by the authors.","Department of Geographical and Historical Studies, University of Eastern Finland, P.O. Box 111, Joensuu, FI-80101, Finland
 Environmental Policy Centre, Finnish Environment Institute, P.O. Box 140, Helsinki, FI-00251, Finland",,2018,Values,Land,"People and post-mining environments: PPGIS mapping of landscape values, knowledge needs, and future perspectives in Northern Finland"
169,170,"Addressing environmental governance conflicts requires the adoption of a complexity approach to carry out an adaptive process of collective learning, exploration, and experimentation. In this article, we hypothesize that by integrating community-based participatory mapping processes with internet-based collaborative digital mapping technologies, it is possible to create tools and spaces for knowledge co-production and collective learning. We also argue that providing a collaborative web platform enables these projects to become a repository of activist knowledge and practices that are often poorly stored and barely shared across communities and organizations. The collaborative Webmap of Water Conflicts in Andalusia, Spain, is used to show the benefits and potential of mapping processes of this type. The article sets out the steps and methods used to develop this experience: (i) background check; (ii) team discussion and draft proposal; (iii) in-depth interviews, and (iv) integrated participative and collaborative mapping approach. The main challenge that had to be addressed during this process was to co-create a tool able to combine the two perspectives that construct the identity of integrated mapping: a data-information-knowledge co-production process that is useful for the social agents-the environmental activists-while also sufficiently categorizable and precise to enable the competent administrations to steer their water management. © 2020 by the authors. Licensee MDPI, Basel, Switzerland. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY) license (http://creativecommons.org/licenses/by/4.0/).","Human Geography Department, Universidad de Sevilla, Sevilla, 41004, Spain",,2020,Water conflicts,Isprs International Journal of Geo-Information,Promoting environmental justice through integrated mapping approaches: The map of water conflicts in Andalusia (Spain)
147,148,"Detailed maps, appropriate for decision making at the local level are outdated or currently not available in Mozambique. The community map presented in this paper is built on participatory mapping and Participatory GIS practices (especially photo mapping) and links to advanced spatial analysis in the context of disaster risk reduction and flood hazard assessment. Based on a very high-resolution satellite imagery, community members mapped different features such as the community boundary, settlement areas and their names, agricultural areas, important infrastructure and most importantly 'low' and 'high risk' zones for floods. It has been for the first time that a community was mapped in Mozambique in such a way integrating local knowledge. The identification of hazard zones in a participatory manner was seen as one way to overcome the bottleneck of limited available data for a proper GIS-based hazard modeling. Next to the digitization of the community mapped features, an image classification on land use, settlement areas (houses), and the integration of GPS collected points (infrastructure, photos) was carried out. In a final step the map was printed and handed-over to the community members. In the applied methodology it has been demonstrated that the assessment of risks through the integration of community knowledge and paper-based satellite images is valid. Next to the result of deriving a community-based hazard map, the process of mapping is understood as essential to sensitize and learn about local flood hazard risk. © 2014 © 2014 Stefan Kienberger.","University of Salzburg, Z-GIS, Salzburg, Austria",,2014,vulnerability,Journal of Maps,"Participatory mapping of flood hazard risk in Munamicua, District of Búzi, Mozambique"
193,194,"How can we make sustainable urban drainage systems (SUDS) smart? SUDS help us to manage surface water runoff from urban environments but they are capable of delivering much more. This paper looks beyond the water quantity and quality improvement functions of SUDS and investigates the multiple benefits that can be gained by implementing smart SUDS solutions. This work provides a new perspective, using methodologies not normally associated with SUDS research, to determine multiple benefits. The outputs of the work can potentially assist decision-makers, designer and planners in recognising the potential for multiple benefits that can be delivered by SUDS. The ecosystem services (ES) associated with a large redevelopment in Dundee, Scotland, UK, are identified and a public perception study together with public participatory geographical information system (PPGIS) methods was used to confirm the goods and benefits of the SUDS. The paper presents findings on the public perception of SUDS as they provide cultural benefits such as recreation, aesthetics and biodiversity. The results show that greenspace is important when choosing a location, and willingness to pay for greenspace is high in this area. This paper concludes that SUDS provide multi-functional benefits in relation to the ES, thereby justifying the cachet of being termed Smart SUDS. © IWA Publishing 2015.","Urban Water Technology Centre, School of Science, Engineering and Technology, University of Abertay, Dundee, DD1 1HG, United Kingdom
 Urban Drainage Specialist, Dundee, United Kingdom","Jose, R.",2015,,Water Science and Technology,Smart SUDS: Recognising the multiple-benefit potential of sustainable surface water management systems
178,179,"Land use in many areas is highly contested. An understanding of the nature of such conflicts, and of spatial variation in their intensity, is required to develop planning solutions. We present a novel process for attaining these outcomes which involves mapping of values and potential conflict between stakeholders determined using participatory GIS (PGIS) processes. Our starting point was an a priori identification of the values that were potentially in conflict. We produced quantitative and qualitative maps of each of the values that formed a basis for workshop discussion among small stakeholder groups. Each participant was asked to complete a questionnaire to determine their values and their attitudes to land use and to map the places that they would not be prepared to lose. Principal components analysis was used to identify the major independent axes in values and attitudes among all participants. We then used repeatable descriptive quantitative procedures to identify attitude groups. These analyses allowed us to identify potential conflicts between values that could be expressed in land use, spatial variation in attachment of groups and the intensity of potential conflict. In our test of the process in the Tarkine region of Tasmania, Australia, we found that land use conflict was multidimensional, involving incompatible recreational activities and incompatibility between nature conservation and economic production. Two-fifths of the area was shown to be not in contest, with considerable spatial variation in the intensity of conflict potential in the remainder. This latter variation could facilitate a process of land use compromise. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Rural Clinical School, University of Tasmania, Locked Bag 3513, Burnie, TAS 7320, Australia
 Geography and Spatial Sciences, School of Technology, Environments and Design, University of Tasmania, Private Bag 78, Hobart, TAS 7001, Australia","Evans, J. D.",2018,,Environmental Management,A Reciprocal Triangulation Process For Identifying And Mapping Potential Land Use Conflict
161,162,"Context: Local scale assessments of ecosystem/landscape services in Africa are insufficient and lack relevance in landscape management. Also, few studies have explored the potential benefits of PGIS/PPGIS approaches for landscape management and stewardship among the participating stakeholders. Objectives: Our aim is (1) to establish an understanding of the realization of landscape services at the local scale across three multifunctional rural landscapes in Tanzania through PGIS/PPGIS approaches and (2) to create an understanding of these approaches’ potential to support participatory spatial planning. Methods: Semi-structured surveys (n = 313) including participatory mapping of provisioning and cultural landscape services were organised to characterise their spatial patterns. The survey results were shared with the communities (n = 97) in workshops where services were ranked and the participants interviewed about their map-reading capacity, personal learning experiences, and their ability to use maps to express opinions. Results: The most abundant landscape services are sites for social gatherings and cultivation. The spatial patterns of provisioning services are realizations of human benefits from the patterns of the biophysical landscape. Overall, cultural landscape services show clustering and small spatial extent (except aesthetics). The PGIS/PPGIS approach allows for local-level, spatially specific discussions between stakeholders. The visual power of maps and satellite images is particularly emphasised. Conclusion: In the data-scarce context common in the Global South, the participatory mapping of landscape services has the potential to advance understanding of the benefits that the landscape has for the local communities and how this information, when mapped spatially, can be integrated with local-level planning practices. © 2019, The Author(s).","Department of Geography and Geology, University of Turku, Turku, 20014, Finland
 Department of Geography, University of Dar es Salaam, Dar es Salaam, Tanzania",,2019,PGIS,Landscape Ecology,"Place-based landscape services and potential of participatory spatial planning in multifunctional rural landscapes in Southern highlands, Tanzania"
83,84,"Subsistence resources are critical for indigenous communities in the Kotzebue Sound region of NW Alaska. Global sea-level rise (SLR) and coastal erosion are likely to create unfavorable and hazardous conditions for coastal and estuarine settlements. It is unclear how SLR and erosion might affect coastal subsistence resources because of highly complex ecological interactions. This study integrates physical, anthropological, and survey data to assess coastal vulnerability and to identify areas of concern for local and regional planning and environmental protection. This study analyzes and integrates historical and projected physical coastal changes within the Kotzebue Sound region with (1) a coastal vulnerability index (CVI); (2) community-based participatory GIS maps of community subsistence resources; and (3) representative surveys of local communities to determine the importance of each type of resource. The results identify Kivalina and Deering as particularly vulnerable coastal locations among four studied villages. While the CVI is high in these locations, low erosion rates will not likely have any negative impact on fish and caribou-two of the most important subsistence resource species for these communities. Because of the higher number of identified subsistence resource species, Deering is more resilient than Kivalina to any potential negative coastal impacts. This methodology can be useful in other coastal areas where subsistence resources play a major part in people's lives. © 2014 Coastal Education & Research Foundation.","Department of Earth, Environmental and Geospatial Sciences, Lehman College, City University of New York (CUNY), West Bronx, NY 10468, United States
 Yale University, School of Forestry and Environmental Studies, New Haven, CT 06405, United States
 Alaska Ocean Observing System, Anchorage, AK 99501, United States",,2014,vulnerability,Journal of Coastal Research,Integrating coastal vulnerability and community-based subsistence resource mapping in Northwest Alaska
69,70,"Recent findings have shown that minority communities are frequently underserved by green infrastructure developments relative to non-minority communities, as local installations of green infrastructure often follow patterns of gentrification. Antipathy from these communities toward existing environmental management efforts present further obstacles related to green infrastructure placement. While hydrologic modeling has been highly utilized in decision support for green infrastructure placement, this technique does not consider ownership, access concerns, or the importance of visibility. Alternatively, participatory geographic information systems (PPGIS) can provide a different perspective from hydrologic models, as they have the potential to forecast community perceptions of green infrastructure utility, rather than hydrological benefit. We use a mixed-methods approach to optimize green infrastructure site-selection that considers hydrologic vulnerabilities in the context of place-based knowledge and historical realities. Residents’ perceptions of the locations of nuisance flooding were reported via participatory mapping within a paper-based survey (n = 95) conducted in the communities surrounding Walnut Creek, a historically African-American community in Raleigh, North Carolina. Hotspot analysis was used to identify statistically significant clustering, which was related to a correspondence between participant-indicated nuisance flooding sites and high flow accumulation cells. Comparison of the participatory and hydrologic hotspot analyses show some geospatial overlap for potential green infrastructure placement. We propose that, when undertaken with community input, green infrastructure installation in these downstream areas may help offset localized flooding patterns while facilitating greater trust with stormwater and environmental practitioners. © 2020 Elsevier B.V.","North Carolina State University, Department of Forestry and Environmental Resources, United States
 North Carolina State University, Center for Geospatial Analytics, United States",,2020,Urban planning,Landscape and Urban Planning,"Green infrastructure site selection in the Walnut Creek wetland community: A case study from southeast Raleigh, North Carolina"
72,73,"Sustainable development and successful urban regeneration ideally require engagement with the affected communities. Existing methods employed by policymakers and planners often fail to reach significant segments of communities, the so-called 'hard-to-reach'. This paper describes the development of an innovative participatory GIS methodology specifically aimed at overcoming the barriers to engagement experienced by these groups. The application of the method is illustrated with reference to three recent case studies carried out in UK cities. The paper will then discuss the novelty of this approach in comparison with other participatory engagement techniques. The ethical implications of the technique are also discussed. © 2009 The Author. Journal compilation © Royal Geographical Society (with The Institute of British Geographers) 2009.","Stockholm Environment Institute, University of York, Heslington, York YO10 5DD, United Kingdom","Cinderby, S.",2010,,Area,How to reach the 'hard-to-reach': The development of Participatory Geographic Information Systems (P-GIS) for inclusive urban design in UK cities
105,106,"Landscape values mapping has been widely employed as a form of public participation GIS (PPGIS) in natural resource planning and decision-making to capture the complex array of values, uses, and interactions between people and landscapes. A landscape values typology has been commonly employed in the mapping of social and environmental values in a variety of management settings and scales. We explore how people attribute meanings and assign values to special places on the Olympic Peninsula (Washington, USA) using both a landscape values typology and qualitative responses about residents’ place-relationships. Using geographically referenced social values data collected in community meetings (n = 169), we identify high-frequency landscape values and examine how well the landscape values are reflected in open-ended descriptions of place-relations. We also explore the various interpretations of 14 landscape values used in the study. In particular, we investigate any overlapping meanings or blurriness among landscape values and reveal potentially emergent landscape values from the qualitative data. The results provide insights on the use of landscape values mapping typologies for practitioners and researchers engaged in the mapping of social values for PPGIS. © 2017, Springer Science+Business Media, LLC (outside the USA).","US Forest Service, Pacific Northwest Research Station, 400 N. 34th St., Suite 201, Seattle, WA 98103, United States
 Department of Fisheries & Wildlife, Oregon State University, 154 Nash Hall, Corvallis, OR 97331-3803, United States
 Institute for Sustainable Solutions, Portland State University, Mail code: SUST, P.O. Box 751, Portland, OR 97207, United States",,2017,Qualitative,Environmental Management,Mapping Meaningful Places on Washington’s Olympic Peninsula: Toward a Deeper Understanding of Landscape Values
241,242,"Maintaining urban greenspace is important for stimulating diverse human-nature interactions. Yet, which greenspace to prioritize for conservation under threat of urban densification is a major planning challenge. Besides ecological knowledge and objective use, people's subjective perception or opinion of urban greenspace has been emphasized in assessing the conservation value of urban greenspace and guiding present-day urban planning. Better understanding on people's perception of urban greenspace and its influencing factors are, therefore, needed. Here we employ a Public Participatory Geographic Information System (PPGIS) survey on “unique urban nature” in the city of Helsinki to explore people's perceived uniqueness (i.e., perceived conservation value) of urban forest patches. We use generalized linear modeling (GLM) and structural equation modeling (SEM) to estimate the relationship between this perceived uniqueness and measurable conservation factors, specifically four biodiversity indicators (BDIs) and seven environmental factors characterizing vegetation structure, landscape features and urban context of the forest patch. Results show that biodiversity has a strong positive impact on perceived uniqueness (PU), while environmental factors have variable impacts on PU, either directly or indirectly through their impacts on biodiversity. While the size and surrounding population density of an urban forest are positively correlated with both biodiversity and PU, its connectivity, surrounding constructed land-use, and canopy cover exhibit negative correlations with PU. Our results highlight the importance of biodiversity in affecting PU both as a direct influencing factor and as a mediator of the impact of environmental factors. We detected distinct effects of environmental factors (e.g., connectivity, canopy cover) on biodiversity and PU, implying different responses of biodiversity and PU to these factors, and a potential trade-off between biodiversity (natural conservation value) and people's conservation value when managing urban forests. © 2019 Elsevier GmbH","Faculty of Biological and Environmental Sciences, University of Helsinki00014, Finland",,2019,Urban forest,Urban Forestry and Urban Greening,"What makes urban greenspace unique – Relationships between citizens’ perceptions on unique urban nature, biodiversity and environmental factors"
82,83,"Critical knowledge gaps seriously hinder efforts for building disaster resilience at all levels, especially in disaster-prone least developed countries. Information deficiency is most serious at local levels, especially in terms of spatial information on risk, resources, and capacities of communities. To tackle this challenge, we develop a general methodological approach that integrates community-based participatory mapping processes, one that has been widely used by governments and non-government organizations in the fields of natural resources management, disaster risk reduction and rural development, with emerging collaborative digital mapping techniques. We demonstrate the value and potential of this integrated participatory and collaborative mapping approach by conducting a pilot study in the flood-prone lower Karnali river basin in Western Nepal. The process engaged a wide range of stakeholders and non-stakeholder citizens to co-produce locally relevant geographic information on resources, capacities, and flood risks of selected communities. The new digital community maps are richer in content, more accurate, and easier to update and share than those produced by conventional Vulnerability and Capacity Assessments (VCAs), a variant of Participatory Rural Appraisal (PRA), that is widely used by various government and non-government organizations. We discuss how this integrated mapping approach may provide an effective link between coordinating and implementing local disaster risk reduction and resilience building interventions to designing and informing regional development plans, as well as its limitations in terms of technological barrier, map ownership, and empowerment potential. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","International Institute for Applied Systems Analysis (IIASA), Schlossplatz 1, Laxenburg, 2361, Austria
 Practical Action Consulting (PAC), Maharajgunj, Kathmandu, 44600, Nepal
 Kathmandu Living Labs (KLL), 1474 Lamtangin Marg, Chundevi, Kathmandu, 44616, Nepal
 Center for Social Development and Research (CSDR), Rajapur, Bardiya, 21800, Nepal
 Schumacher Centre, Warwickshire, CV23 9QZ, United Kingdom","Liu, W.",2018,,Isprs International Journal of Geo-Information,Integrated participatory and collaborative risk mapping for enhancing disaster resilience
46,47,"Background: Children's habitual physical activity, including active travel and catching public transit (walking and cycling to and from destinations), and independent mobility (mobility without an adult) have decreased. Public transit trips are physically active and can provide access to hobbies independent of parents, but there is no device-measured data about children's total physical activity time following the introduction of free public transit. Our aim is to compare physical activity and independent mobility between children living in two Finnish towns, one with a recently introduced free public transit system, and the other without free public transit. Methods: The city of Mikkeli has provided free public transit for all comprehensive school children since 2017. Various districts from Mikkeli, and the reference town of Kouvola (towns from South-Eastern Finland with a comparative population size and geographical structure), are selected based on their accessibility and the availability of public transit services. Samples of 10-12-year-old children will be recruited through primary schools. We will compare moderate-to-vigorous physical activity time, sitting time (a thigh-worn Fibion® device) and independent mobility (a participatory mapping method, PPGIS) of children: 1) who live in towns with and without free public transit, 2) who live and go to school in districts with high vs. low perceived and objective access to free public transit, and 3) who report using vs. not using free public transit. In addition, ethnography will be used to get insights on the social and cultural effects of the free public transit on children's and parent's everyday life. Discussion: There is a need for scalable solutions that can increase children's physical activity independent of their socioeconomic background or place of residence. This project will give information on how a political action to provide free public transit for children is associated with their total physical activity time and independent mobility patterns, therefore providing highly relevant information for political decision-making and for promoting independent physical activity in children. © 2020 The Author(s).","Active Life Lab, South-Eastern Finland University of Applied Sciences, Raviradantie 22b, Mikkeli, 50100, Finland
 Juvenia-Youth Research and Development Centre, South-Eastern Finland University of Applied Sciences, Mikkeli, Finland
 Department of Built Environment, Aalto University, Espoo, Finland
 Centre for Urban Research, School of Global Urban and Social Studies, Rmit University, Melbourne, VIC 3000, Australia","Pesola, A. J.",2020,,Bmc Public Health,Does free public transit increase physical activity and independent mobility in children? Study protocol for comparing children's activity between two Finnish towns with and without free public transit
60,61,"The management of recreation areas can presumably affect visitors experiences by altering the settings where experiences are constructed. Thus, several methodological approaches have been used in the past to explore the relationship between recreation setting and experiences. Most of these approaches have ignored spatial aspects of experiences. This study explores a participatory mapping technique, as one form of Public Participation GlS (PPGIS), to examine recreation satisfaction in Oulanka National Park (ONP). The applied mapping technique asked visitors to mark on a paper map where they had the highest and lowest quality experiences in ONP and to explain why. The study shows that positive and negative experiences are spatially clustered and often concentrate in the same locations within the park. In addition. different types of visitors identify similar places that produce high -quality experiences. These positive experiences are dominated by perceptions of scenery, while recreation facilities are often the reasons for dissatisfactory experiences. This study improves the understanding of the spatial nuances of visitor experiences and further encourages developing participatory mapping techniques that can aid recreation management of natural areas. (C) 2015 Elsevier Ltd. All rights reserved.",,"Pietla, M.",2015,,Journal of Outdoor Recreation and Tourism-Research Planning and Management,Examining the relationship between recreation settings and experiences in Oulanka National Park - A spatial approach
157,158,"Climate change is affecting human and geophysical systems in a variety of complex and interdependent ways. For nature-based tourism-dependent communities like those along the North Shore of Lake Superior in Minnesota, impacts to the region's abundant natural resources can subsequently affect the livelihoods of individuals who depend upon those resources to provide essential ecosystem services and support the region's economy. Many of the area's natural and outdoor recreation resources are collaboratively managed, making cooperation essential to address climate change impacts. In this study, we engaged North Shore stakeholders in a climate change risk assessment process through an exploratory application of participatory geographic information systems (PGIS). Stakeholder involvement allows for the co-production of science to deliver locally-relevant data and information. Involving stakeholders through a PGIS-based climate change risk assessment process allows locally-relevant data and information to be represented and visualized spatially. We used PGIS focus groups, as well as pre- and post-surveys, to solicit stakeholders' perceptions of risk thresholds (i.e., the time scale of impacts) and climate-related risk severity to sites with built infrastructure, natural amenities, and recreation and tourism destinations. The stakeholders' knowledge, as well as their commitment to their communities and local environments, influenced general perceptions of region-wide climate-related vulnerabilities. The PGIS exercises generated important discussion among stakeholders and shed light on how to more efficiently collect spatially-explicit data and information from stakeholders that can be used to inform mitigation and adaptation efforts. © 2019 by the authors.","Department of Parks, Recreation and Tourism Management, NC State University, Raleigh, NC 27695, United States
 Center for Changing Landscapes, University of Minnesota, Minneapolis, MN 55108, United States
 Department of Forest Resources, University of Minnesota, Minneapolis, MN 55108, United States
 Institute of Outdoor Recreation and Tourism, Utah State University, Logan, UT 84322, United States
 Department of Environment and Society, Utah State University, Logan, UT 84322, United States",,2019,Vulnerability,Sustainability (Switzerland),A PGIS-based climate change risk assessment process for outdoor recreation and tourism dependent communities
154,155,"Urban infill includes a potential to change the track of development of existing, distressed neighborhoods. The investments to a neighborhood as a whole can at best contribute to an increase in residential satisfaction, including perceived safety. Using a location-based public participation geographic information system approach, this study offers insights on how to avoid too simplistic or deterministic thinking in safety planning through a case study of a neighborhood representing urban retrofit in Espoo, Finland. This article concludes that more comprehensive safety strategies are most likely to succeed in breaking the negative development of fear and a spiral of neighborhood decay especially in retrofit neighborhoods. © 2014 Macmillan Publishers Ltd.","YTK Land Use Planning and Urban Studies Group, Department of Real Estate, Planning and Geoinformatics, Aalto University, Rakentajanaukio 2, Espoo, 00076, Finland","Kyttä, M.",2014,,Urban Design International,Perceived safety of the retrofit neighborhood: A location-based approach
67,68,"Over the last years, geospatial web platforms, social media, and volunteered geographic information (VGI) have opened a window of opportunity for traditional Public Participatory GIS (PPGIS) to usher in a new era. Taking advantage of these technological achievements, this paper presents a new approach for a citizen-orientated framework of spatial planning that aims at integrating participatory community work into existing decision-making structures. One major cornerstone of the presented approach is the application of a social geoweb platform (the GeoCitizen platform) that combines geo-web technologies and social media in one single tool allowing citizens to collaboratively report observations, discuss ideas, solve, and monitor problems in their living environment at a local level. This paper gives an account of an ongoing participatory land-zoning process in the Capital District of Quito, Ecuador, where the GeoCitizen platform is applied in a long-term study. © 2014 The Author(s).","Department of Geoinformatics - Z-GIS, Doctoral College GIScience, University Salzburg, Hellbrunnerstrasse 34, 5020 Salzburg, Austria
 Universidad San Francisco de Quito, Av. Diego de Robles y Via Interoceánica, Cumbaya, Ecuador
 Decision and Policy Analysis Program (DAPA), International Center for Tropical Agriculture (CIAT, CIAT, A.A. 6713, Cali, Colombia",,2014,Social media,Cartography and Geographic Information Science,The GeoCitizen-approach: Community-based spatial planning - An Ecuadorian case study
180,181,"The study of rural communities is a key element in understanding economic activities and conserving successful methods of resource management and social organisation. The conceptual and operational research axes were interdisciplinary environmental geography and integrative concept landscape. A participatory geographic information system (PGIS) was built to incorporate scientific and local knowledge. Regional landscape changes were analysed in fishing communities of the Mexican North Pacific, based on three historical maps. The main land- and seascape changes were: extensive stockbreeding disappeared; intensive agriculture increased; human settlements expanded; and fishing zones were created, divided and expanded seawards. Marine environment was the most changeable territory, reflecting the dominance of fishing activities. The PGIS proved to be a useful tool for identifying and understanding the changes in fishery management and the resulting dynamics of marine landscape zoning in the various communities, and in future projects would be equally applicable to coastal management and territorial organisation. © 2015 Landscape Research Group Ltd.","Instituto de Investigaciones Oceanológicas, UABC, Ensenada, Mexico
 UABC, Ensenada, Mexico
 Centro de Investigaciones en Geografía Ambiental, UNAM, Morelia, Mexico","Álvarez, P.",2015,,Landscape Research,Regional Landscape Change in Fishing Communities of the Mexican North Pacific
218,219,"Spatially-explicit participatory planning is a relatively new approach for managing visitors to protected areas. In this study we used public participation geographic information systems (PPGIS) mapping and global positioning system (GPS) tracking to monitor mountain bikers frequenting national parks for tourism and recreation in Northern Sydney, Australia. PPGIS was implemented using both an internet application and with hardcopy maps in the field. Our research addressed two fundamental questions for park planning: (1) What is the spatial distribution of visitor activities and location-specific reasons for riding; and (2) What location-specific actions are needed to improve riding experiences? The spatial distributions of riding activities generated in PPGIS showed strong correlation with the GPS tracking results, with riding locations being related to the reasons for track selection. Riders proposed a broad range of management actions to improve riding experiences. PPGIS mapping provides a cost-effective approach to facilitate spatial decision making, allowing park agencies to prioritise future visitor management actions. We discuss the strengths and limitations of these research methods. © 2015 Elsevier Ltd.","NSW National Parks and Wildlife Service, Office of Environment and Heritage, Department of Premier and Cabinet, Hurstville, NSW 2220, Australia
 Centre for Ecosystem Science, University of New South Wales, Sydney, NSW 2052, Australia
 School of Geography, Planning and Environmental Management, University of Queensland, Brisbane, QLD 4072, Australia",,2015,Visitor activity management,Tourism Management,The use of public participation GIS (PPGIS) for park visitor management: A case study of mountain biking
191,192,"Geographers, planners and public health officials are increasingly interested in working with community partners, organizations, and residents to engage in action oriented research designed to impact positive community change. One growing area of community-based research focuses on geographic examinations of aspects of social service accessibility. In this study, we work with multiple community partners in an urban area to examine the spatial distribution of social service providers. We also identify potential new locations for social service providers that can meet the unmet demands for such services. We utilize a Public Participation GIS framework to create shared community resources and research deliverables for our community partners. The results of our work help local providers, leaders, and community residents to visualize gaps and coverage in social services across urban space; draw attention to additional forces that shape access, i.e. public transportation, walkability, and zoning codes; and confirm the anecdotal evidence of poor accessibility presented by neighborhood leaders and residents. The work has practical and actionable implications for lower income urban communities and methodological implications for the disciplines of geography, public health and planning. © 2012 Elsevier Ltd.","Department of Sociology, Georgia State University, P.O. Box 5020, Atlanta, GA 30302-5020, United States
 Department of Geosciences, Georgia State University, P.O. Box 4105, Atlanta, GA 30302-5020, United States","Case, C.",2013,,Applied Geography,"Served or unserved? A site suitability analysis of social services in Atlanta, Georgia using Geographic Information Systems"
88,89,"The increasing sophistication of classification techniques used in land use and land cover analysis has not been matched by attention to the origin and effects of land cover categories. While classifications appear unproblematic and self-evident, they carry with them their own histories, meanings and effects, which remain largely unexamined. In an effort at such scrutiny, we examine the origins of land cover categories deployed in remote sensing and conclude that categories are theory-laden metaphors and occur epistemologically prior to any clustering algorithm, no matter how sophisticated. We describe the problematic effects that the imposition of classification systems in place of in situ knowledge of the landscape can have, especially in a colonial or post-colonial context. As an alternative to imposed classification, we propose and demonstrate an empirical technique based upon a growing body of work in participatory GIS. The method compares image classifications based on local and expert knowledge, using a case study from Rajasthan, India, concluding that differing metaphors of landscape lead to divergent measures of land cover.","Department of Geography, Ohio State University, 1132 Derby Hall, Columbus, OH 43210, United States","Robbins, P.",2000,,Cartography and Geographic Information Science,Interrogating land cover categories: Metaphor and method in remote sensing
